"Trial","Condition","Talker","Target","AuditoryProbe1","AuditoryProbe2","AuditoryProbe3","AuditoryProbe4","AuditoryProbe5","AuditoryProbe6","AuditoryProbe7","AuditoryProbe8","AuditoryProbe9","AuditoryProbe10","AuditoryProbe11","AuditoryProbe12","AuditoryProbe13","AuditoryProbe14","AuditoryProbe15","AuditoryProbe16"
1,"Blocked","Male","ball","M_cave.wav","M_dime.wav","M_cad.wav","M_ball.wav","M_tile.wav","M_ball.wav","M_cling.wav","M_tile.wav","M_ball.wav","M_cave.wav","M_reek.wav","M_done.wav","M_ball.wav","M_lash.wav","M_knife.wav","M_reek.wav"
2,"Blocked","Male","ball","M_bluff.wav","M_ball.wav","M_greet.wav","M_bluff.wav","M_ball.wav","M_tile.wav","M_park.wav","M_ball.wav","M_gnash.wav","M_park.wav","M_dime.wav","M_cling.wav","M_ball.wav","M_romp.wav","M_romp.wav","M_dime.wav"
3,"Blocked","Male","ball","M_romp.wav","M_depth.wav","M_priest.wav","M_ball.wav","M_done.wav","M_ball.wav","M_depth.wav","M_dime.wav","M_knife.wav","M_ball.wav","M_jaw.wav","M_depth.wav","M_cling.wav","M_gnash.wav","M_ball.wav","M_priest.wav"
4,"Blocked","Male","ball","M_reek.wav","M_greet.wav","M_romp.wav","M_ball.wav","M_reek.wav","M_ball.wav","M_depth.wav","M_done.wav","M_romp.wav","M_jaw.wav","M_depth.wav","M_ball.wav","M_done.wav","M_romp.wav","M_ball.wav","M_cave.wav"
5,"Blocked","Male","ball","M_jolt.wav","M_ball.wav","M_bluff.wav","M_lash.wav","M_dime.wav","M_ball.wav","M_cling.wav","M_done.wav","M_ball.wav","M_depth.wav","M_ball.wav","M_tile.wav","M_done.wav","M_park.wav","M_gnash.wav","M_reek.wav"
6,"Blocked","Male","ball","M_bluff.wav","M_ball.wav","M_park.wav","M_cave.wav","M_cad.wav","M_ball.wav","M_knife.wav","M_ball.wav","M_cling.wav","M_dime.wav","M_ball.wav","M_cling.wav","M_done.wav","M_romp.wav","M_dime.wav","M_reek.wav"
7,"Blocked","Male","cave","M_park.wav","M_cave.wav","M_reek.wav","M_cave.wav","M_jaw.wav","M_cave.wav","M_park.wav","M_tile.wav","M_lash.wav","M_cling.wav","M_ball.wav","M_ball.wav","M_cling.wav","M_cave.wav","M_greet.wav","M_lash.wav"
8,"Blocked","Male","cave","M_done.wav","M_cave.wav","M_romp.wav","M_cave.wav","M_bluff.wav","M_dime.wav","M_cave.wav","M_greet.wav","M_done.wav","M_reek.wav","M_bluff.wav","M_gnash.wav","M_bluff.wav","M_cave.wav","M_dime.wav","M_knife.wav"
9,"Blocked","Male","cave","M_tile.wav","M_romp.wav","M_cling.wav","M_knife.wav","M_cave.wav","M_priest.wav","M_bluff.wav","M_priest.wav","M_cave.wav","M_knife.wav","M_cave.wav","M_ball.wav","M_cave.wav","M_romp.wav","M_cad.wav","M_park.wav"
10,"Blocked","Male","cave","M_knife.wav","M_cave.wav","M_park.wav","M_cave.wav","M_cling.wav","M_tile.wav","M_ball.wav","M_bluff.wav","M_cave.wav","M_cling.wav","M_cave.wav","M_dime.wav","M_jaw.wav","M_tile.wav","M_priest.wav","M_dime.wav"
